🎯 ALL 430 PERIPHERAL ACCESSES - COMPLETE LIST
=============================================================

📋 PART 1: BOARD_InitHardware() - 124 accesses
-------------------------------------------------------------
1. CLOCK_EnableClock write CLKCTL0 PSCCTL4 0x40001020 fsl_clock.c:57
2. CLOCK_EnableClock read CLKCTL0 REG_0x4 0x40001004 fsl_clock.c:58
3. CLOCK_EnableClock write CLKCTL0 PSCCTL5 0x40001024 fsl_clock.c:63
4. CLOCK_EnableClock read CLKCTL0 REG_0x8 0x40001008 fsl_clock.c:64
5. CLOCK_EnableClock write CLKCTL0 REG_0x40 0x40001028 fsl_clock.c:69
6. CLOCK_EnableClock read CLKCTL0 REG_0x12 0x4000100C fsl_clock.c:70
7. CLOCK_EnableClock write CLKCTL0 REG_0x44 0x4000102C fsl_clock.c:75
8. CLOCK_EnableClock read CLKCTL0 PSCCTL0 0x40001010 fsl_clock.c:76
9. CLOCK_EnableClock write CLKCTL0 REG_0x48 0x40001030 fsl_clock.c:81
10. CLOCK_EnableClock read CLKCTL0 PSCCTL1 0x40001014 fsl_clock.c:82
11. CLOCK_EnableClock write CLKCTL0 REG_0x52 0x40001034 fsl_clock.c:87
12. CLOCK_EnableClock read CLKCTL0 PSCCTL2 0x40001018 fsl_clock.c:88
13. CLOCK_EnableClock write SYSCON0 REG_0x4 0x40002004 fsl_clock.c:111
14. CLOCK_EnableClock read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:112
15. CLOCK_EnableClock read CLKCTL0 REG_0x88 0x40001058 fsl_clock.c:117
16. CLOCK_EnableClock write CLKCTL0 REG_0x88 0x40001058 fsl_clock.c:117
17. CLOCK_EnableClock read CLKCTL0 REG_0x88 0x40001058 fsl_clock.c:118
18. CLOCK_AttachClk read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:317
19. CLOCK_AttachClk write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:317
20. CLOCK_AttachClk read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:321
21. CLOCK_AttachClk write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:321
22. CLOCK_SetClkDiv read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:376
23. CLOCK_SetClkDiv write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:376
24. CLOCK_SetClkDiv read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:381
25. CLOCK_SetClkDiv write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:381
26. CLOCK_SetClkDiv write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:385
27. CLOCK_SetClkDiv read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:387
28. CLOCK_EnableFroClkOutput read CLKCTL0 REG_0x96 0x40001060 fsl_clock.c:685
29. CLOCK_EnableFroClkOutput read CLKCTL0 REG_0x96 0x40001060 fsl_clock.c:691
30. CLOCK_EnableFroClkOutput read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:707
31. CLOCK_EnableFroClkOutput write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:707
32. CLOCK_EnableFroClkOutput write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:708
33. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:743
34. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:750
35. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:756
36. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:760
37. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:765
38. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:769
39. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:772
40. CLOCK_EnableFroAutoTuning write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:783
41. CLOCK_EnableFroClkFreqClo write CLKCTL1 REG_0x24 0x40003018 fsl_clock.c:819
42. CLOCK_EnableFroClkFreqClo read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:845
43. CLOCK_ConfigFroTrim read SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:807
44. CLOCK_ConfigFroTrim write SYSCON0 AHBMATPRIO 0x40002000 fsl_clock.c:807
45. CLOCK_InitMainPll write CLKCTL1 PSCCTL4 0x40003010 fsl_clock.c:876
46. CLOCK_InitMainPll write CLKCTL1 REG_0x24 0x40003018 fsl_clock.c:891
47. CLOCK_InitAudioPll write CLKCTL1 PSCCTL4 0x40003010 fsl_clock.c:950
48. CLOCK_InitAudioPll write CLKCTL1 REG_0x24 0x40003018 fsl_clock.c:966
49. CLOCK_EnableFro0ClkForDom read CLKCTL0 REG_0x96 0x40001060 fsl_clock.c:1133
50. CLOCK_EnableFro0ClkForDom write CLKCTL0 REG_0x104 0x40001068 fsl_clock.c:1141
51. CLOCK_DisableClock write CLKCTL0 REG_0x60 0x4000103C fsl_clock.c:204
52. CLOCK_DisableClock write CLKCTL0 PSCCTL0_SET 0x40001040 fsl_clock.c:207
53. CLOCK_DisableClock write CLKCTL0 PSCCTL1_SET 0x40001044 fsl_clock.c:210
54. CLOCK_DisableClock write CLKCTL0 PSCCTL2_SET 0x40001048 fsl_clock.c:213
55. CLOCK_DisableClock write CLKCTL0 PSCCTL3_SET 0x4000104C fsl_clock.c:216
56. CLOCK_DisableClock write CLKCTL0 PSCCTL4_SET 0x40001050 fsl_clock.c:219
57. CLOCK_DisableClock write SYSCON0 REG_0x8 0x40002008 fsl_clock.c:231
58. CLOCK_DisableClock read CLKCTL0 REG_0x88 0x40001058 fsl_clock.c:234
59. CLOCK_DisableClock write CLKCTL0 REG_0x88 0x40001058 fsl_clock.c:234
60. CLOCK_GetComputeMainClkFr read CLKCTL0 REG_0x136 0x40001088 fsl_clock.c:1307
61. CLOCK_GetComputeMainClkFr read CLKCTL0 PSCCTL0_CLR 0x40001070 fsl_clock.c:1330
62. CLOCK_GetClockOutClkFreq read CLKCTL0 REG_0x332 0x4000114C fsl_clock.c:2300
